"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
158;"2021-08-16 14:08:50.5";3,79228;0,918;5,03166;19,08142
159;"2021-08-16 14:08:51";3,64549;0,914;4,99913;18,22429
160;"2021-08-16 14:08:51.5";3,66121;0,933;5,15422;18,87067
161;"2021-08-16 14:08:52";3,84028;0,955;5,33567;20,49047
162;"2021-08-16 14:08:52.5";3,92321;0,938;5,19528;20,38218
163;"2021-08-16 14:08:53";3,82503;0,94;5,21174;19,93504
164;"2021-08-16 14:08:53.5";3,85899;0,956;5,34397;20,62234
165;"2021-08-16 14:08:54";4,05891;0,906;4,93429;20,02783
166;"2021-08-16 14:08:54.5";4,14431;0,91;4,96668;20,58344
167;"2021-08-16 14:08:55";3,99892;0,886;4,77336;19,08828
168;"2021-08-16 14:08:55.5";3,86308;0,881;4,7334;18,28551
169;"2021-08-16 14:08:56";3,86368;0,886;4,77336;18,44276
170;"2021-08-16 14:08:56.5";3,74675;0,882;4,74138;17,76477
171;"2021-08-16 14:08:57";3,54701;0,886;4,77336;16,93118
172;"2021-08-16 14:08:57.5";3,48265;0,843;4,43323;15,4394
173;"2021-08-16 14:08:58";3,63794;0,802;4,11652;14,97563
174;"2021-08-16 14:08:58.5";3,80426;0,802;4,11652;15,6603
175;"2021-08-16 14:08:59";3,79168;0,911;4,97478;18,86276
176;"2021-08-16 14:08:59.5";3,64782;0,914;4,99913;18,23595
177;"2021-08-16 14:09:00";3,53634;0,925;5,08874;17,99549
178;"2021-08-16 14:09:00.5";3,61992;0,918;5,03166;18,21419
179;"2021-08-16 14:09:01";3,82574;0,933;5,15422;19,7187
180;"2021-08-16 14:09:01.5";3,85145;0,881;4,7334;18,23044
181;"2021-08-16 14:09:02";3,63823;0,872;4,66174;16,96046
182;"2021-08-16 14:09:02.5";3,49576;0,884;4,75737;16,6306
183;"2021-08-16 14:09:03";3,58876;0,885;4,76536;17,10176
184;"2021-08-16 14:09:03.5";3,69047;0,859;4,55885;16,82428
185;"2021-08-16 14:09:04";3,66239;0,852;4,50375;16,49447
186;"2021-08-16 14:09:04.5";3,59374;0,845;4,44887;15,98807
187;"2021-08-16 14:09:05";3,5706;0,879;4,71745;16,84411
188;"2021-08-16 14:09:05.5";3,59776;0,873;4,66968;16,8004
189;"2021-08-16 14:09:06";3,63227;0,87;4,64586;16,87501
190;"2021-08-16 14:09:06.5";3,58138;0,812;4,19307;15,01698
191;"2021-08-16 14:09:07";3,47658;0,814;4,20843;14,63097
192;"2021-08-16 14:09:07.5";3,43786;0,801;4,10889;14,12579
193;"2021-08-16 14:09:08";3,51006;0,793;4,04801;14,20878
194;"2021-08-16 14:09:08.5";3,58048;0,783;3,97233;14,22285
195;"2021-08-16 14:09:09";3,57553;0,8;4,10126;14,66421
196;"2021-08-16 14:09:09.5";3,56837;0,802;4,11652;14,68926
